Predicate,Topic,Complement,ItemNumber,Orientation,Block1.SpeakerGender,Block1.Speaker,Block1.SubjectGender,Block1.Subject,Block2.SpeakerGender,Block2.Speaker,Block2.SubjectGender,Block2.Subject,ID-Condition
believe,medicaid,medicaid funding should be increased,1,L,Male,David,Female,Anna,Male,Aaron,Female,Rhonda,1-L
believe,medicaid,medicaid funding should be decreased,1,R,Male,David,Female,Anna,Male,Aaron,Female,Rhonda,1-R
believe,Obama,Obama improved the American economy,2,L,Female,Cindy,Male,Ben,Female,Celia,Male,Peter,2-L
believe,Obama,Obama damaged the American economy,2,R,Female,Cindy,Male,Ben,Female,Celia,Male,Peter,2-R
believe,guns and teachers,schoolteachers carrying guns threatens student safety,3,L,Male,David,Female,Anna,Male,Aaron,Female,Rhonda,3-L
believe,guns and teachers,schoolteachers carrying guns promotes student safety,3,R,Male,David,Female,Anna,Male,Aaron,Female,Rhonda,3-R
believe,abortion,abortion rights should be expanded,4,L,Female,Cindy,Male,Ben,Female,Celia,Male,Peter,4-L
believe,abortion,abortion rights should be reduced,4,R,Female,Cindy,Male,Ben,Female,Celia,Male,Peter,4-R
discover,environmental laws,there are too few environmental laws,5,L,Male,Luke,Male,Andy,Male,Don,Male,Jim,5-L
discover,environmental laws,there are too many environmental laws,5,R,Male,Luke,Male,Andy,Male,Don,Male,Jim,5-R
discover,Trump,Trump's national security policies put Americans in danger,6,L,Female,Allison,Female,Laura,Female,Betsy,Female,Alaina,6-L
discover,Trump,Trump's national security policies make Americans safer,6,R,Female,Allison,Female,Laura,Female,Betsy,Female,Alaina,6-R
discover,capital punishment,the federal government should ban capital punishment,7,L,Male,Luke,Male,Andy,Male,Don,Male,Jim,7-L
discover,capital punishment,all states should allow capital punishment,7,R,Male,Luke,Male,Andy,Male,Don,Male,Jim,7-R
discover,abortion-2,abortion is a woman's right,8,L,Female,Allison,Female,Laura,Female,Betsy,Female,Alaina,8-L
discover,abortion-2,abortion is unethical,8,R,Female,Allison,Female,Laura,Female,Betsy,Female,Alaina,8-R
feel,marriage,same-sex couples should be allowed to marry,9,L,Female,Sandra,Female,Ashley,Female,Debbie,Female,Kathleen,9-L
feel,marriage,only heterosexual couples should be allowed to marry,9,R,Female,Sandra,Female,Ashley,Female,Debbie,Female,Kathleen,9-R
feel,gun laws ,strict gun control laws prevent mass shootings,10,L,Male,Brian,Male,Jake,Male,Ted,Male,Justin,10-L
feel,gun laws ,strict gun control laws prevent mass shootings,10,R,Male,Brian,Male,Jake,Male,Ted,Male,Justin,10-R
feel,the wall,the government should refuse to fund the border wall,11,L,Female,Sandra,Female,Ashley,Female,Debbie,Female,Kathleen,11-L
feel,the wall,the government should fund the border wall,11,R,Female,Sandra,Female,Ashley,Female,Debbie,Female,Kathleen,11-R
feel,immmigration,immigrants support the American economy,12,L,Male,Brian,Male,Jake,Male,Ted,Male,Justin,12-L
feel,immmigration,immigrants steal jobs from Americans,12,R,Male,Brian,Male,Jake,Male,Ted,Male,Justin,12-R
know,affirmative action,affirmative action programs ensure equal access to jobs,13,L,Female,Maria,Female,Ann,Female,Wendy,Female,Natasha,13-L
know,affirmative action,affirmative action programs drain government resources,13,R,Female,Maria,Female,Ann,Female,Wendy,Female,Natasha,13-R
know,healthcare,the government should run the healthcare system,14,L,Male,Rob,Male,Bill,Male,Martin,Male,Gabe,14-L
know,healthcare,the government should stay out of the healthcare system,14,R,Male,Rob,Male,Bill,Male,Martin,Male,Gabe,14-R
know,medicaid,medicaid funding should be increased,15,L,Female,Maria,Female,Ann,Female,Wendy,Female,Natasha,15-L
know,medicaid,medicaid funding should be decreased,15,R,Female,Maria,Female,Ann,Female,Wendy,Female,Natasha,15-R
know,Obama,Obama improved the American economy,16,L,Male,Rob,Male,Bill,Male,Martin,Male,Gabe,16-L
know,Obama,Obama damaged the American economy,16,R,Male,Rob,Male,Bill,Male,Martin,Male,Gabe,16-R
realize,immmigration,immigrants support the American economy,17,L,Male,Steve,Female,Alice,Male,Nicholas,Female,Jennifer,17-L
realize,immmigration,immigrants steal jobs from Americans,17,R,Male,Steve,Female,Alice,Male,Nicholas,Female,Jennifer,17-R
realize,the wall,the government should refuse to fund the border wall,18,L,Female,Linda,Male,Dan,Female,Barbara,Male,Brandon,18-L
realize,the wall,the government should fund the border wall,18,R,Female,Linda,Male,Dan,Female,Barbara,Male,Brandon,18-R
realize,environmental laws,there are too few environmental laws,19,L,Male,Steve,Female,Alice,Male,Nicholas,Female,Jennifer,19-L
realize,environmental laws,there are too many environmental laws,19,R,Male,Steve,Female,Alice,Male,Nicholas,Female,Jennifer,19-R
realize,Trump,Trump's national security policies put Americans in danger,20,L,Female,Linda,Male,Dan,Female,Barbara,Male,Brandon,20-L
realize,Trump,Trump's national security policies make Americans safer,20,R,Female,Linda,Male,Dan,Female,Barbara,Male,Brandon,20-R
see,abortion-2,abortion is a woman's right,21,L,Female,Katie,Male,Jeff,Female,Jane,Male,Brad,21-L
see,abortion-2,abortion is unethical,21,R,Female,Katie,Male,Jeff,Female,Jane,Male,Brad,21-R
see,capital punishment,the federal government should ban capital punishment,22,L,Male,Fred,Female,Martha,Male,Evan,Female,Andrea,22-L
see,capital punishment,all states should allow capital punishment,22,R,Male,Fred,Female,Martha,Male,Evan,Female,Andrea,22-R
see,gay marriage,same-sex couples should be allowed to marry,23,L,Female,Katie,Male,Jeff,Female,Jane,Male,Brad,23-L
see,gay marriage,only heterosexual couples should be allowed to marry,23,R,Female,Katie,Male,Jeff,Female,Jane,Male,Brad,23-R
see,gun laws ,strict gun control laws prevent mass shootings,24,L,Male,Fred,Female,Martha,Male,Evan,Female,Andrea,24-L
see,gun laws ,strict gun control laws prevent mass shootings,24,R,Male,Fred,Female,Martha,Male,Evan,Female,Andrea,24-R
think,abortion,abortion rights should be expanded,25,L,Female,Mary,Male,Frank,Female,Judith,Male,Gordon,25-L
think,abortion,abortion rights should be reduced,25,R,Female,Mary,Male,Frank,Female,Judith,Male,Gordon,25-R
think,guns and teachers,schoolteachers carrying guns threatens student safety,26,L,Male,Derek,Female,Lisa,Male,Richard,Female,Vicky,26-L
think,guns and teachers,schoolteachers carrying guns promotes student safety,26,R,Male,Derek,Female,Lisa,Male,Richard,Female,Vicky,26-R
think,affirmative action,affirmative action programs ensure equal access to jobs,27,L,Female,Mary,Male,Frank,Female,Judith,Male,Gordon,27-L
think,affirmative action,affirmative action programs drain government resources,27,R,Female,Mary,Male,Frank,Female,Judith,Male,Gordon,27-R
think,healthcare,the government should run the healthcare system,28,L,Male,Derek,Female,Lisa,Male,Richard,Female,Vicky,28-L
think,healthcare,the government should stay out of the healthcare system,28,R,Male,Derek,Female,Lisa,Male,Richard,Female,Vicky,28-R
NONE,cookies,Simon brought the cookies for dessert,filler1,NONE,Female,Rita,NONE,NONE,Female,Carly,NONE,NONE,filler1
NONE,sick,Caroline missed the meeting because she's sick,filler2,NONE,Male,Daniel,NONE,NONE,Male,Larry,NONE,NONE,filler2
believe,registration,the club registration forms were sent in the mail,29,N,Female,Sophia,Male,Harry,Female,Julie,Male,Bruce,29-N
believe,meeting location,the club meeting location needs to be changed,30,N,Male,Nathan,Female,Clara,Male,Bruce,Female,Julie,30-N
believe,lighting,the room needs more lighting,31,N,Female,Sophia,Male,Harry,Female,Julie,Male,Bruce,31-N
believe,fundraiser,the club fundraiser is next week,32,N,Male,Nathan,Female,Clara,Male,Bruce,Female,Julie,32-N
discover,newsletter,the club newsletter will be sent next month,33,N,Male,Noah,Male,Jake,Male,Ian,Male,Clark,33-N
discover,recruitment,there need to be more club recruitment activities,34,N,Female,Charlotte,Female,Abby,Female,Wanda,Female,Susan,34-N
discover,break,there needs to be a break half-way through the meeting,35,N,Male,Noah,Male,Jake,Male,Ian,Male,Clark,35-N
